a,b,c,root
-10,70,20,7.275
-88,88,49,1.398
-14,23,12,2.059
6,-31,29,3.94
65,-78,-28,1.489
-54,80,-9,1.359
12,-97,84,7.097
18,-61,-86,4.46
-11,36,72,4.673
-42,97,50,2.743
-36,42,71,2.104
75,-45,-75,1.344
-29,20,38,1.54
-55,-18,100,1.195
56,-85,17,1.281
76,-33,-71,1.208
4,-42,-12,10.778
-4,63,1,15.766
-100,99,50,1.358
61,-90,1,1.464
62,-97,-42,1.918
89,-49,-48,1.06
-16,24,55,2.75
-13,-48,68,1.093
-3,94,63,31.99
33,-24,-22,1.257
35,-67,9,1.769
16,-32,-45,2.953
-44,96,79,2.819
59,4,-93,1.222
3,-78,64,25.152
73,-35,-89,1.37
42,31,-79,1.051
76,18,-97,1.018
11,-42,-90,5.348
6,-56,-13,9.56
-85,36,93,1.279
8,-50,-11,6.463
15,-82,-84,6.349
39,-76,-85,2.743
-7,21,3,3.137
-88,75,54,1.318
-9,93,-53,9.728
5,18,-66,2.255
-55,42,26,1.168
-20,50,41,3.151
11,-52,27,4.133
-43,73,44,2.169
-85,71,85,1.501
-53,49,89,1.838
2,-87,-88,44.489
-29,61,3,2.152
-60,90,83,2.145
24,-81,33,2.901
-35,82,77,3.061
5,-46,-86,10.794
4,-61,90,13.595
-84,93,16,1.258
22,-44,-22,2.414
81,-92,-22,1.339
12,67,86,-2
-83,63,95,1.515
-28,66,36,2.814
-11,44,87,5.451
-39,1,99,1.606
-22,54,9,2.611
3,-69,-27,23.385
38,38,-89,1.11
1,-47,-17,47.359
-10,91,15,9.262
10,-94,-12,9.526
-96,61,100,1.387
-32,75,17,2.552
-93,39,91,1.221
52,-48,-49,1.536
-9,100,-51,10.575
-63,54,70,1.566
-5,51,-1,10.18
10,-40,10,3.732
-93,90,25,1.193
42,-72,29,1.067
85,-52,-98,1.422
22,-75,-30,3.771
23,-36,-88,2.889
-45,61,12,1.53
-21,47,71,3.272
-50,57,89,2.021
4,-89,51,21.661
2,-54,74,25.552
-28,6,33,1.198
-83,94,49,1.521
-21,-68,-51,-1.18
-38,83,74,2.864
22,34,-69,1.159
7,-80,-65,12.19
-73,54,56,1.321
21,-64,-100,4.185
86,-4,-96,1.08
48,-50,-64,1.788
4,-58,-42,15.191
-89,13,86,1.059
-27,99,81,4.355
-57,52,46,1.464
10,-96,6,9.537
-43,83,72,2.579
-7,2,87,3.671
95,-88,-92,1.551
1,-90,-3,90.033
29,20,-90,1.45
92,-52,-56,1.112
-62,38,44,1.203
6,-60,45,9.183
-22,37,-10,1.343
90,-99,-50,1.476
-91,84,74,1.475
56,-82,-67,2.048
89,-94,-26,1.284
-14,-13,61,1.674
48,-88,-65,2.398
-77,18,75,1.111
20,-23,-26,1.852
3,29,28,-1.088
-41,5,46,1.122
-42,82,-24,1.594
-7,25,24,4.358
11,-37,-65,4.638
-20,43,84,3.389
-26,90,-56,2.648
-17,-73,-77,-1.863
24,3,-41,1.246
2,-90,-24,45.265
-1,36,-1,35.972
-79,54,25,1
79,-95,-84,1.795
-21,96,100,5.446
-29,63,94,3.189
12,-29,16,1.564
-80,92,74,1.696
1,-44,-20,44.45
17,42,-94,1.421
56,-40,-83,1.626
72,-89,-8,1.32
9,58,52,-1.076
-30,61,-15,1.747
72,9,-99,1.112
30,10,-69,1.359
7,-60,83,6.837
8,9,-62,2.278
-71,85,14,1.344
52,32,-92,1.058
-78,41,88,1.357
-54,40,21,1.096
-34,50,41,2.057
-13,3,28,1.588
-51,20,44,1.145
-20,94,37,5.065
2,-77,-9,38.617
-68,98,33,1.723
19,-22,-11,1.535
-85,22,90,1.167
31,-33,-82,2.244
-40,100,-57,1.621
-15,44,42,3.692
-8,73,-9,9
-3,-32,60,1.627
21,-69,-49,3.886
-77,94,22,1.422
82,-74,-10,1.022
-22,57,62,3.416
57,-62,-18,1.326
7,-48,55,5.403
63,-86,-77,1.982
43,-34,-34,1.368
-5,-42,-56,-1.662
52,-88,-27,1.958
64,-4,-100,1.282
-45,25,80,1.64
31,-73,39,1.536
23,-56,1,2.417
-19,63,37,3.825
12,-79,65,5.619
-48,97,22,2.227
1,-63,-56,63.877
20,-16,-9,1.181
-34,-17,80,1.304
45,-63,-89,2.271
82,-85,-5,1.092
88,-60,-65,1.265
43,-30,-37,1.34
30,-97,-83,3.936
-8,21,37,3.832
-4,69,99,18.582
43,16,-88,1.257
-20,26,22,1.884
57,-90,-66,2.124
35,-43,-85,2.289
-4,11,39,4.787
-3,95,12,31.792
-32,74,64,2.983
11,-14,-64,3.131
4,-22,13,4.827
15,-81,-26,5.704
3,55,88,-1.771
10,-26,-14,3.058
-64,36,37,1.092
-6,76,-55,11.896
7,-53,77,5.611
-15,-75,-80,-1.543
-86,88,43,1.384
-11,76,-34,6.428
-1,70,46,70.651
50,-96,-57,2.396
-20,83,13,4.301
-96,47,64,1.097
-39,37,31,1.484
-62,75,46,1.657
-73,72,60,1.525
26,-17,-58,1.856
36,-91,-76,3.19
-2,-79,-100,-1.309
-45,63,37,1.846
20,-61,-58,3.811
8,19,-45,1.465
-21,6,80,2.1
-17,93,-28,5.151
-81,90,95,1.773
-56,100,-16,1.608
-16,3,75,2.261
-60,89,-12,1.333
75,-95,-78,1.834
-64,97,81,2.114
-39,27,67,1.702
-23,-29,84,1.382
4,35,-43,1.092
-1,-35,-41,-1.214
40,-100,-32,2.787
74,-98,-27,1.558
-1,-24,-62,-2.945
48,32,-90,1.076
-21,71,-46,2.507
-99,22,83,1.033
-4,71,-97,16.258
10,-58,74,3.905
24,-65,-37,3.191
-96,93,3,1
-41,19,33,1.158
7,-4,-21,2.041
41,-43,-97,2.149
79,-73,-62,1.461
-19,46,92,3.722
-30,55,51,2.51
-21,22,80,2.545
73,-40,-58,1.206
-14,44,28,3.686
-38,1,57,1.238
-44,45,12,1.242
-84,88,74,1.599
11,-62,9,5.487
-15,66,31,4.828
2,-41,-2,20.549
54,-40,-52,1.419
-9,43,86,6.296
-30,42,94,2.604
-79,50,97,1.469
-44,-13,77,1.183
-10,-59,81,1.149
-63,69,63,1.688
5,-28,4,5.453
-1,-32,83,2.412
31,20,-90,1.412
-83,68,100,1.581
-67,-19,91,1.032
-41,4,37,1
10,-3,-63,2.664
26,-69,-45,3.195
5,-32,-51,7.721
-53,30,67,1.442
30,-10,-50,1.468
-38,90,57,2.888
66,-59,-66,1.542
81,-96,-76,1.728
2,-16,-29,9.523
-4,-38,84,1.85
-91,98,-6,1.012
53,-88,-54,2.137
57,-43,-95,1.722
-33,36,91,2.293
-17,61,-36,2.844
13,-92,94,5.838
-4,30,17,8.029
-72,56,75,1.481
-66,100,-14,1.359
-27,17,86,2.127
-39,83,7,2.209
29,-47,-41,2.249
6,-65,44,10.108
-2,-17,42,2
-63,81,77,1.922
24,-84,22,3.215
-59,92,31,1.844
27,-78,-56,3.484
87,-29,-93,1.214
93,-81,-73,1.423
-36,34,79,2.027
-1,79,2,79.025
70,-81,6,1.078
6,35,30,-1.044
-28,29,38,1.793
-8,-15,38,1.435
85,-69,-20,1.038
-11,36,-5,3.127
-25,-39,86,1.232
38,-44,3,1.085
4,-55,6,13.64
-4,16,7,4.398
4,1,-41,3.079
-59,96,65,2.142
63,-77,-72,1.842
3,-21,-15,7.653
65,-17,-95,1.347
14,-81,30,5.388
-22,44,-4,1.905
49,-44,-35,1.406
-52,34,84,1.639
-74,90,95,1.894
29,-84,42,2.254
7,-43,-77,7.592
-93,64,61,1.224
21,86,75,-1.259
86,-65,-55,1.262
8,-17,-86,4.509
-35,94,61,3.226
24,-33,-91,2.753
15,-20,-2,1.427
67,-47,-58,1.345
24,-57,-60,3.165
-16,97,-7,5.989
40,-50,-82,2.187
-31,22,60,1.791
-11,54,18,5.222
-50,76,90,2.302
3,6,-84,4.385
-7,90,94,13.828
3,45,-51,1.059
11,-76,66,5.891
-19,23,70,2.618
12,30,-71,1.485
-85,75,55,1.359
36,-8,-58,1.385
-14,27,11,2.274
-91,42,54,1.035
4,-74,-28,18.871
15,74,-91,1.019
-46,60,26,1.647
50,-45,-71,1.724
13,-44,20,2.844
84,-62,-71,1.36
25,-75,1,2.987
-46,21,87,1.622
-65,73,8,1.224
-34,67,24,2.28
-16,-10,34,1.178
51,15,-78,1.098
16,47,-84,1.253
-7,67,35,10.068
27,-83,-31,3.411
-54,72,34,1.703
27,-46,-76,2.733
30,23,-90,1.391
44,-15,-92,1.626
-41,45,93,2.152
29,-85,-30,3.249
-32,-40,74,1.019
90,-69,-39,1.145
88,-89,-64,1.497
23,-83,23,3.306
-53,93,-17,1.547
18,65,-92,1.088
-54,23,53,1.226
67,-98,10,1.352
11,-38,-93,5.109
17,-23,-40,2.353
-62,4,63,1.041
4,-9,-99,6.226
47,-72,-54,2.083
1,-100,-43,100.428
-64,39,85,1.497
-18,8,60,2.061
42,-19,-78,1.608
79,7,-99,1.076
-36,58,-4,1.539
9,-92,-68,10.914
-13,-24,47,1.191
-8,20,-7,2.079
-25,65,57,3.292
-27,50,76,2.842
-29,34,1,1.201
16,-89,90,4.234
58,-85,-96,2.213
59,-97,26,1.307
9,-27,-48,4.254
-34,52,60,2.298
79,-53,-69,1.328
-20,28,-6,1.136
-37,4,70,1.431
-82,23,76,1.113
30,-92,-80,3.773
85,-65,-98,1.522
49,-95,-3,1.97
23,-62,-52,3.367
-15,74,99,6.028
-20,-45,87,1.245
92,-41,-54,1.021
29,-70,8,2.294
23,-80,-20,3.712
-90,9,87,1.034
28,-34,-32,1.837
17,-24,-62,2.742
14,55,-73,1.048
-34,-50,84,1
-34,21,66,1.736
-31,77,22,2.743
6,-84,-88,14.979
-7,8,18,2.274
3,74,98,-1.404
-46,68,6,1.562
-13,-39,86,1.477
-9,40,93,6.13
-28,88,-13,2.987
32,24,-81,1.26
-62,80,-12,1.117
-37,-10,51,1.047
-67,64,47,1.442
19,-50,7,2.483
27,-94,61,2.619
71,-99,-21,1.581
36,-36,-56,1.844
-3,88,38,29.759
39,-47,-15,1.467
39,57,-97,1.007
-93,87,65,1.426
3,22,-84,2.771
-25,72,55,3.507
49,-48,-37,1.487
-56,17,40,1.01
-93,64,82,1.344
-36,95,61,3.173
-58,69,62,1.788
31,-83,-28,2.98
24,-94,80,2.667
-55,99,-7,1.726
8,-91,-55,11.95
-42,30,38,1.373
-32,82,-14,2.379
-5,19,58,5.8
-34,94,-6,2.699
36,-73,19,1.721
79,-69,-26,1.158
7,-93,-8,13.371
80,-1,-86,1.043
-69,80,80,1.803
-49,88,62,2.337
39,-17,-31,1.136
11,-90,74,7.254
57,-15,-75,1.286
-28,67,-3,2.347
-29,76,58,3.238
5,24,-53,1.645
10,-46,1,4.578
23,-72,55,1.807
-4,33,31,9.102
-97,85,50,1.279
20,-88,-11,4.522
83,-74,-86,1.557
67,-45,-98,1.591
-12,72,79,6.948
16,-77,-55,5.444
79,-59,-81,1.453
29,-58,-82,2.956
-40,87,86,2.913
94,-88,-54,1.359
50,-39,-69,1.628
-33,91,8,2.843
56,-23,-54,1.209
-3,77,-100,24.295
10,-40,-20,4.449
11,-15,-70,3.295
-3,-7,99,4.695
31,-63,18,1.688
-26,68,74,3.442
99,-56,-56,1.086
74,-55,-62,1.36
-1,94,-85,93.087
43,-62,8,1.299
-86,97,33,1.402
-9,35,33,4.673
36,28,-90,1.239
27,-84,12,2.961
85,-44,-50,1.068
-53,84,-21,1.274
-40,87,1,2.186
15,-95,91,5.157
78,-19,-77,1.123
11,-82,54,6.725
-34,41,94,2.372
92,-100,-48,1.447
33,-46,-98,2.556
6,-71,66,10.816
13,63,-76,1
66,-70,-42,1.488
-8,-46,-48,-1.37
50,-38,-53,1.477
91,-77,-93,1.519
-65,92,30,1.689
56,-59,-9,1.189
8,2,-17,1.338
-2,95,48,48
-43,43,43,1.618
-24,36,16,1.859
-61,83,12,1.492
13,39,-57,1.076
-28,100,50,4.016
27,-50,-80,2.88
-23,11,49,1.718
4,-96,-3,24.031
-72,66,100,1.723
30,-69,27,1.8
28,-14,-59,1.723
28,30,-64,1.068
24,-59,-85,3.477
-27,66,40,2.947
81,-27,-75,1.143
-9,38,6,4.375
56,-28,-50,1.227
-2,81,-9,40.389
-96,3,99,1.031
42,-87,-64,2.647
-76,49,58,1.254
2,-81,-41,41
22,-30,-53,2.377
-31,83,48,3.166
-80,50,92,1.429
77,-93,-97,1.878
-5,10,-2,1.775
20,16,-94,1.805
95,-86,-72,1.434
-24,10,37,1.467
48,-95,-13,2.108
-7,7,60,3.47
91,-64,-57,1.218
86,-67,-94,1.505
11,-51,-69,5.731
11,-74,57,5.84
25,-78,-41,3.578
7,3,-46,2.358
-88,34,72,1.118
41,-67,-18,1.869
86,-99,-87,1.734
-28,3,40,1.25
-65,-2,80,1.094
38,4,-72,1.325
1,-86,-39,86.451
34,-53,-70,2.412
-44,-1,73,1.277
-1,-12,58,3.695
-2,-23,-32,-1.619
-86,69,47,1.242
2,-65,-90,33.83
73,-70,-55,1.471
-10,75,-27,7.121
13,-97,-34,7.797
14,29,-83,1.61
-77,79,62,1.547
98,-93,-84,1.515
-60,92,6,1.596
-8,72,-85,7.602
10,70,81,-1.463
-68,67,23,1.255
-29,68,86,3.256
-44,19,67,1.469
22,-62,35,2.037
72,-51,-89,1.521
37,-66,-18,2.024
-33,73,49,2.752
-6,14,12,3
1,-40,15,39.621
-57,43,50,1.387
-68,2,74,1.058
22,31,-76,1.283
3,11,-23,1.487
-47,75,78,2.313
82,-21,-95,1.212
12,22,-66,1.601
16,-75,-49,5.269
1,72,72,-1.014
-17,53,-6,3
32,-83,11,2.454
-39,2,67,1.337
-76,89,68,1.698
-33,69,66,2.804
-69,70,52,1.513
70,-48,-53,1.278
-34,84,48,2.949
63,-80,-95,2.017
36,-98,-65,3.274
-59,21,90,1.426
6,-95,74,15.012
-82,26,99,1.269
-24,38,42,2.333
-84,38,67,1.147
-59,-32,94,1.02
2,-22,-5,11.223
9,-77,-98,9.68
-7,40,79,7.267
-52,93,-36,1.222
30,-62,31,1.219
3,63,-85,1.272
27,-80,53,1.963
-5,100,44,20.431
100,-48,-69,1.105
-82,36,51,1.038
3,-53,64,16.363
-4,55,-3,13.695
11,66,-86,1.101
23,-59,-70,3.448
-70,100,29,1.676
-19,34,38,2.568
-41,1,98,1.558
79,-63,-73,1.439
-87,57,35,1.041
76,-38,-53,1.122
-19,-6,77,1.861
-58,62,15,1.272
75,-84,-38,1.466
-17,90,-18,5.086
-9,-23,83,2.017
1,-18,34,15.856
-23,26,36,1.938
33,-40,-13,1.479
-3,-67,-100,-1.608
54,-85,20,1.286
29,-76,-27,2.938
5,56,-90,1.426
71,-98,-76,1.934
-9,72,29,8.384
-29,82,14,2.989
27,-32,-3,1.273
62,-97,-42,1.918
3,-57,66,17.761
10,-53,-29,5.8
-23,20,11,1.252
-21,-33,63,1.116
-6,-18,57,1.928
12,-49,6,3.957
-54,-33,96,1.062
19,-97,21,4.879
49,-60,-41,1.713
-75,86,50,1.571
-9,-17,92,2.389
-14,85,-60,5.256
-1,50,6,50.12
-59,68,17,1.364
-99,88,45,1.252
77,-54,-66,1.341
-46,100,-29,1.829
-54,98,71,2.37
14,95,88,-1.107
-69,55,91,1.614
27,-65,-83,3.33
51,-80,-63,2.145
-27,29,4,1.198
32,-40,-43,1.942
-22,64,59,3.645
34,-42,-74,2.217
42,-65,-62,2.214
15,-57,20,3.409
-7,33,40,5.714
4,-88,-56,22.619
34,-5,-40,1.161
-32,42,93,2.483
41,-21,-60,1.493
-89,5,99,1.083
-12,72,-56,5.082
-64,60,80,1.681
13,-7,-7,1.051
26,-53,-33,2.538
62,-83,-88,2.036
-42,81,99,2.777
68,-69,-47,1.481
-75,13,90,1.186
58,-42,-66,1.489
51,-93,-26,2.07
5,-99,-78,20.559
-20,83,-49,3.437
-24,4,82,1.934
-64,36,88,1.487
-91,58,73,1.269
-20,-45,95,1.328
2,47,97,-2.286
41,-74,-91,2.644
-10,-17,65,1.837
28,-69,31,1.873
-25,62,91,3.515
33,43,-91,1.132
99,-92,-24,1.142
28,36,-76,1.126
31,15,-48,1.026
28,-77,-83,3.578
-34,31,15,1.261
36,-84,-85,3.096
-59,89,10,1.614
-36,88,-47,1.656
-60,30,78,1.417
-47,35,57,1.535
55,-78,-42,1.834
-66,42,78,1.451
-24,91,73,4.472
6,-51,61,7.06
-18,98,91,6.253
-55,28,39,1.134
90,-9,-91,1.057
-17,40,-17,1.796
-85,80,87,1.586
-83,71,61,1.386
-26,32,62,2.278
39,-35,-86,2
-54,63,19,1.415
-15,83,71,6.286
-12,52,58,5.253
-79,87,97,1.788
64,-32,-81,1.402
-49,94,-9,1.817
-58,17,63,1.199
1,13,-40,2.569
42,-41,-66,1.833
-51,94,88,2.526
-51,28,79,1.549
49,-43,-35,1.391
30,-72,-88,3.291
-51,33,96,1.733
6,-2,-71,3.611
15,74,66,-1.169
8,18,-28,1.058
-1,85,55,85.642
8,73,66,-1.018
-8,53,48,7.432
40,-65,-32,2.021
-21,70,76,4.196
-54,43,11,1
-40,97,-3,2.394
32,-50,-94,2.665
34,-95,-49,3.239
-35,15,88,1.814
8,54,68,-1.675
-24,47,76,3.01
-8,35,42,5.355
43,-22,-56,1.425
52,-82,-73,2.212
-4,54,-38,12.755
28,33,-84,1.24
-61,82,-1,1.332
63,-87,-47,1.796
14,-95,-14,6.93
87,-69,-29,1.097
-8,24,76,4.928
44,-40,-91,1.963
54,-66,-23,1.505
37,-78,-67,2.763
-35,72,77,2.834
99,-18,-86,1.027
71,-31,-56,1.133
-8,-25,69,1.764
-16,87,6,5.506
-3,28,-8,9.038
-37,93,-5,2.459
1,50,-99,1.907
-42,39,40,1.545
100,-100,-38,1.294
-82,62,70,1.376
-12,21,99,3.878
80,7,-94,1.041
61,-46,-95,1.681
97,-95,-64,1.438
-77,75,73,1.576
82,-1,-95,1.082
-68,89,-13,1.141
42,2,-75,1.313
-68,19,99,1.354
26,6,-66,1.482
-83,54,78,1.348
-82,13,82,1.082
-64,45,86,1.563
10,91,91,-1.144
23,-45,21,1.188
-7,-15,30,1.26
-14,49,54,4.381
-48,61,66,1.969
65,-87,-49,1.765
-85,27,86,1.177
73,-11,-78,1.112
-2,39,72,21.198
-17,77,56,5.167
-90,77,84,1.484
-62,64,100,1.887
-39,-2,89,1.485
-3,51,93,18.661
84,-91,1,1.072
95,-44,-97,1.268
-27,-10,98,1.729
50,-92,-63,2.371
-43,76,-17,1.505
5,-43,66,6.6
-50,98,-27,1.628
77,-79,-28,1.305
-28,100,-32,3.216
-50,89,80,2.437
-28,41,52,2.279
24,-71,-95,3.958
-17,15,61,2.386
92,-32,-96,1.21
3,18,-96,3.403
-4,58,-86,12.823
-4,-4,68,3.653
-68,42,61,1.305
44,-91,27,1.709
-88,7,97,1.09
-24,92,88,4.626
14,44,-97,1.494
8,4,-78,2.882
19,-68,-16,3.801
-21,79,63,4.438
14,-95,52,6.185
82,-28,-100,1.288
82,10,-93,1.006
-4,90,98,23.541
-22,87,79,4.716
24,-60,-69,3.357
-5,-55,-92,-2.058
12,68,86,-1.905
90,-71,-41,1.176
-100,64,79,1.265
28,14,-97,1.628
-12,-5,23,1.192
64,-46,-91,1.605
-65,63,81,1.702
4,81,77,-1
-28,19,16,1.168
-19,70,92,4.712
37,-32,-70,1.874
-24,90,-51,3.054
38,-71,-71,2.59
59,17,-88,1.086
-35,-29,80,1.153
34,-83,19,2.185
62,-42,-24,1.047
63,-55,-91,1.715
4,-48,55,10.717
14,-67,-51,5.454
2,-21,-23,11.5
-2,97,19,48.695
-12,26,21,2.793
41,-55,-55,2.009
-47,81,31,2.046
50,-35,-19,1.059
-51,37,38,1.299
18,-94,-3,5.254
64,-75,-4,1.223
48,-57,-9,1.329
-12,82,-50,6.157
-74,100,-10,1.243
-40,76,27,2.206
-9,17,13,2.473
86,-73,-89,1.527
63,-40,-60,1.344
-48,-40,100,1.086
30,1,-58,1.374
52,-36,-71,1.565
-14,21,88,3.367
21,-36,-93,3.129
49,-86,-87,2.473
-68,81,69,1.766
16,96,95,-1.25
-9,15,79,3.911
69,-60,-69,1.525
6,70,-78,1.024
8,-96,-76,12.745
-74,85,8,1.236
1,51,67,-1.349
79,-77,-44,1.379
-37,70,2,1.92
-4,-2,76,4.116
61,-55,-29,1.275
70,-43,-45,1.166
-16,-29,73,1.414
-9,-47,61,1.076
65,20,-87,1.013
35,-61,-97,2.75
-31,93,22,3.22
4,-38,-15,9.88
13,-95,23,7.057
-32,61,-6,1.802
-8,83,57,11.021
60,-68,-30,1.473
2,-96,-93,48.95
13,-87,-40,7.124
-89,3,94,1.045
-48,27,37,1.203
3,-90,-17,30.188
-3,75,-14,24.812
76,-33,-63,1.153
-12,-39,63,1.184
83,-64,-49,1.245
57,-95,-51,2.094
60,-50,-13,1.041
-58,78,17,1.536
15,-55,-89,4.882
-6,15,77,5.044
31,-72,-19,2.562
-24,-24,94,1.541
22,36,-97,1.435
-71,62,87,1.627
47,-92,-99,2.729
42,-98,-54,2.794
-47,7,59,1.197
-1,-15,-17,-1.235
-91,72,24,1.044
-81,55,32,1.054
-68,40,64,1.308
50,-72,-76,2.148
-82,34,62,1.101
-20,76,-43,3.108
13,-66,-27,5.457
-80,98,33,1.5
-98,47,92,1.238
-43,23,88,1.723
-98,41,63,1.038
10,-83,-74,9.112
-73,89,31,1.502
85,-89,-63,1.531
-70,-2,85,1.088
-6,-53,96,1.542
29,-87,-80,3.738
-46,47,89,1.993
94,-79,-76,1.413
-54,13,75,1.305
57,-17,-69,1.259
-70,75,99,1.84
-1,-17,18,1
-11,99,50,9.48
-15,81,-80,4.099
24,-76,34,2.627
11,-86,-76,8.62
-90,100,63,1.56
32,-98,2,3.042
-39,87,13,2.371
-50,72,2,1.467
-35,53,96,2.578
45,-8,-37,1
27,-84,-51,3.631
36,-88,44,1.743
-67,17,70,1.157
79,-97,-15,1.367
22,18,-68,1.396
27,-90,42,2.772
85,-69,-31,1.134
42,-15,-43,1.206
-24,86,-55,2.75
16,-11,-22,1.566
-4,-67,86,1.198
7,-76,-53,11.515
35,-92,26,2.307
40,-100,53,1.737
-54,2,72,1.173
-10,-66,99,1.26
89,-65,-67,1.307
16,50,-85,1.222
-8,24,18,3.621
-14,-43,67,1.137
11,-79,-65,7.927
-35,-20,90,1.343
22,74,-99,1.025
10,-90,46,8.456
-15,92,49,6.626
7,-26,-12,4.129
-1,72,5,72.069
-30,49,93,2.758
-74,70,27,1.24
56,-26,-98,1.575
9,22,-67,1.767
-1,-23,44,1.776
-57,33,41,1.186
90,-99,-92,1.701
50,-81,-79,2.305
-15,-10,63,1.743
2,-67,17,33.244
-8,43,43,6.237
11,99,98,-1.132
23,-90,-31,4.232
-54,94,-30,1.32
13,-24,-19,2.444
4,-11,-100,6.561
-21,-34,87,1.381
15,100,88,-1.043
-15,-13,39,1.236
-67,19,69,1.166
-24,44,53,2.663
-46,6,53,1.141
-63,58,7,1.029
-5,7,82,4.81
-67,21,55,1.076
10,-54,-89,6.724
93,-3,-98,1.043
-54,37,82,1.622
76,-46,-79,1.366
-20,57,-26,2.28
-14,-83,100,1.027
-90,62,65,1.261
8,-90,45,10.726
53,-63,-82,1.973
-47,94,87,2.689
-54,42,45,1.381
56,-52,-39,1.419
25,19,-44,1
-66,10,92,1.259
-45,85,4,1.935
-6,98,67,16.991
13,-76,-28,6.194
76,-77,-18,1.209
-57,58,46,1.541
-100,52,90,1.244
24,-99,-55,4.621
65,-14,-59,1.066
35,-75,18,1.867
14,-71,90,2.571
-5,-28,45,1.304
-48,39,32,1.318
-23,85,-28,3.33
84,-68,-92,1.527
-72,97,14,1.479
69,3,-78,1.042
-44,85,53,2.428
30,-14,-40,1.411
-83,37,89,1.282
31,-39,-71,2.268
-5,70,-63,13.033
-44,38,77,1.823
-31,71,21,2.555
-4,89,16,22.428
3,65,-100,1.442
13,-37,-86,4.363
-24,22,86,2.406
22,-17,-33,1.671
69,-77,-43,1.525
45,-43,-82,1.91
-5,88,-14,17.439
-52,65,97,2.127
-9,-59,-84,-2.09
10,-83,60,7.5
29,20,-56,1.087
32,-92,-60,3.423
-9,56,94,7.597
-66,85,53,1.747
-7,-35,50,1.16
83,-83,-98,1.696
-35,58,-7,1.526
-43,96,71,2.818
-25,95,92,4.6
-12,46,4,3.918
-13,38,-11,2.597
25,-59,-46,2.978
69,-30,-91,1.386
59,-21,-80,1.356
5,33,-76,1.808
-76,25,56,1.038
-10,95,-84,8.513
-14,17,73,2.97
-16,41,87,3.942
63,-11,-90,1.286
66,-84,-94,1.989
15,-71,-99,5.86
13,-100,96,6.568
11,59,65,-1.549
23,-19,-76,2.277
-89,52,53,1.117
10,-25,-83,4.39
-16,34,4,2.237
-2,-24,72,2.485
26,-4,-84,1.876
-22,15,46,1.827
2,53,78,-1.564
-7,-57,77,1.18
21,12,-39,1.107
-15,60,-11,3.807
-72,79,47,1.525
-21,6,98,2.308
-3,76,31,25.735
79,-64,-66,1.405
14,-88,26,5.975
-28,77,41,3.207
-13,32,4,2.581
3,-69,-48,23.676
-40,91,74,2.911
-36,57,14,1.799
-85,56,48,1.15
-11,3,81,2.853
28,-15,-69,1.86
-75,45,38,1.072
-22,93,76,4.928
-91,89,93,1.612
-94,39,64,1.058
81,-70,-80,1.516
-34,25,21,1.235
-83,74,32,1.21
-30,33,86,2.33
-37,91,-33,2.017
-89,31,70,1.078
-37,73,35,2.372
-18,98,23,5.67
-74,80,33,1.4
26,-81,-36,3.51
-43,-10,77,1.227
-89,8,86,1.029
4,-42,35,9.587
-60,80,69,1.929
-35,59,5,1.767
93,-44,-63,1.093
76,-53,-32,1.085
25,-68,39,1.898
83,-100,-89,1.8
29,-18,-75,1.948
57,-82,-48,1.885
97,-89,-92,1.535
-11,95,67,9.292
23,-73,-91,4.132
72,-72,-98,1.769
-29,9,78,1.803
80,-100,-27,1.478
54,-45,-31,1.281
-69,94,-9,1.259
-25,6,68,1.774
-14,96,79,7.6
11,-38,10,3.168
-41,49,58,1.929
3,55,98,-2
-14,77,-96,3.59
26,-77,-74,3.726
51,-86,-18,1.875
2,61,-74,1.168
-56,37,86,1.613
-30,4,65,1.54
59,-98,-94,2.341
79,-72,-88,1.605
55,-50,-19,1.198
-17,8,94,2.599
-42,37,96,2.015
-95,40,86,1.185
-24,42,91,3.01
97,-92,-38,1.259
56,-82,-30,1.767
-100,88,23,1.091
-50,21,49,1.222
-40,54,100,2.394
-72,52,20,1
-7,-17,47,1.647
-52,50,15,1.202
13,66,-100,1.221
-7,73,16,10.643
-92,50,63,1.143
-1,-3,64,6.639
8,-70,-74,9.703
-15,4,63,2.187
-26,53,22,2.392
33,-84,-51,3.052
-26,73,83,3.676
11,-6,-86,3.082
70,-87,-52,1.684
-28,73,7,2.7
-97,67,59,1.198
17,20,-78,1.633
39,-16,-66,1.522
29,-70,-49,2.981
5,44,65,-1.878
4,-52,-33,13.606
11,-36,24,2.341
30,-18,-24,1.243
-63,98,67,2.069
33,-63,-88,2.846
52,-50,-37,1.452
-89,46,79,1.235
-27,64,81,3.284
-30,94,49,3.588
11,-70,-87,7.428
-25,24,87,2.406
-14,-2,36,1.534
-89,96,23,1.28
-96,71,67,1.283
-10,2,49,2.316
-31,-14,76,1.356
-74,25,77,1.203
-62,90,50,1.88
-5,-25,89,2.404
52,-23,-60,1.318
60,-75,-93,2.018
-29,-19,83,1.396
-15,-36,58,1.104
57,-31,-95,1.591
30,-25,-53,1.81
6,-84,-75,14.842
46,5,-67,1.154
-63,-12,75,1
50,-74,-55,2.024
46,5,-88,1.33
96,-10,-86,1
35,1,-52,1.205
-7,-17,32,1.245
-49,42,42,1.449
5,61,82,-1.538
51,-82,-50,2.079
-59,4,98,1.323
-61,75,47,1.686
-71,65,6,1
-26,74,86,3.732
